tmdb_id,title,genres,avg_rating,overview,year
463684,Velvet Buzzsaw,"Thriller, Mystery, Horror",5.337704918032787,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of ar",2019
707,A View to a Kill,"Adventure, Action, Thriller",6.289285714285714,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions ,1985
535292,21 Bridges,"Crime, Action, Drama",6.09375,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",2019
11460,Red Eye,"Thriller, Mystery",6.544642857142857,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician.",2005
625450,Tall Girl,"Comedy, Drama, Romance",5.988333333333333,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",2019
24238,Mary and Max,"Animation, Comedy, Drama",7.311904761904763,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",2009
440161,The Sisters Brothers,"Drama, Western",6.134883720930232,"Oregon, 1851. Hermann Kermit Warm, a chemist and aspiring gold prospector, keeps a profitable secret that the Commodore wants to know, so he sends the Sisters brothers, two notorious assassins, to capture him on his way to California.",2018
330483,The Choice,"Drama, Romance",6.653333333333333,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,2016
9276,The Faculty,"Horror, Science Fiction, Mystery",6.781578947368421,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that their faculty is being controlled by body-snatching aliens.",1998
31867,Repo Men,"Action, Science Fiction, Thriller, Crime",6.510606060606061,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the bes",2010
390062,Jungle,"Adventure, Drama, Thriller",6.199999999999999,"In 1981, an enthusiastic young adventurer follows his dreams into the Bolivian Amazon jungle with two friends and a guide with a mysterious past. Their journey quickly turns into a terrifying ordeal as the darkest elements of human nature and the dea",2017
10474,The Basketball Diaries,"Drama, Crime",7.136363636363637,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,1995
16995,State of Play,Thriller,6.630769230769231,"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.",2009
650,Boyz n the Hood,"Crime, Drama",7.565384615384615,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,1991
614409,To All the Boys: Always and Forever,"Romance, Comedy, Drama",6.376470588235294,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,2021
520663,The Woman in the Window,"Crime, Mystery, Thriller",5.760000000000001,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,2021
449924,Ip Man 4: The Finale,"Action, Drama, History",6.258904109589041,"Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son.",2019
2011,Persepolis,"Animation, Drama",7.225641025641026,"In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand ",2007
38142,5 Centimeters Per Second,"Animation, Drama, Family, Romance",7.058426966292135,"Three moments in Takaki's life: his relationship with Akari and their forced separation; his friendship with Kanae, who is secretly in love with him; the demands and disappointments of adulthood, an unhappy life in a cold city.",2007
9285,Road Trip,"Comedy, Adventure",6.666666666666667,"From the director of the Hangover trilogy and Joker, Road Trip is a raunchy college comedy classic.  After an Ithaca college student films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the",2000
10771,The Tuxedo,"Thriller, Action, Comedy, Science Fiction",6.416923076923077,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts",2002
